,YearWeek,FlightsPerWeek,DelaysPerWeek,PercDelaysPerWeek
11,2008-2,135944,1156,0.008503501441770141
12,2008-20,137783,1158,0.008404520151252332
13,2008-21,135003,1009,0.007473907987229913
14,2008-22,137663,1492,0.010838061062159041
15,2008-23,140646,2400,0.01706411842498187
16,2008-24,142243,2699,0.01897457168366809
17,2008-25,142600,3538,0.024810659186535765
18,2008-26,142735,3038,0.021284197989280836
19,2008-27,137215,1708,0.012447618700579383
20,2008-28,141573,3249,0.02294929117840266
21,2008-29,143292,1382,0.009644641710632834
22,2008-3,134983,2069,0.015327856100397828
23,2008-30,143107,2606,0.018210150446868426
24,2008-31,142801,2219,0.015539106868999517
25,2008-32,142403,2398,0.016839532875009656
26,2008-33,141875,2348,0.01654977973568282
27,2008-34,137811,1533,0.011123930600605177
28,2008-35,131051,1413,0.01078206194534952
29,2008-36,127474,431,0.0033810816323328677
30,2008-37,125674,1442,0.01147413148304343
31,2008-38,125497,341,0.002717196427006223
32,2008-39,125411,777,0.006195628772595705
33,2008-4,135185,2691,0.01990605466582831
34,2008-40,124988,413,0.0033043172144525874
35,2008-41,125235,562,0.004487563380844013
36,2008-42,125212,504,0.0040251733060729005
37,2008-43,125236,766,0.006116452138362771
38,2008-44,124370,412,0.003312695987778403
39,2008-45,124509,512,0.004112152535158101
40,2008-46,124361,1184,0.009520669663318887
41,2008-47,124889,440,0.00352312853814187
42,2008-48,117529,1467,0.012482025712802798
43,2008-49,123373,1642,0.013309232976421097
44,2008-5,135047,3205,0.023732478322361843
45,2008-50,122224,2145,0.017549744730985733
46,2008-51,125757,7180,0.05709423729891775
47,2008-52,120778,5092,0.04215999602576628
48,2008-6,135012,2649,0.01962047817971736
49,2008-7,136905,3458,0.025258390854972425
50,2008-8,139594,3173,0.02273020330386693
51,2008-9,138710,1833,0.013214620431115277
